name,region,grape_primary,year,provinces
Castel del Monte Bombino Nero DOCG,5. Murgia settentrionale di Castel del Monte,,,
Castel del Monte Nero di Troia Riserva DOCG,5. Murgia settentrionale di Castel del Monte,,,
Castel del Monte Rosso Riserva DOCG,5. Murgia settentrionale di Castel del Monte,,,
Primitivo di Manduria Dolce Naturale DOCG,2 Arco Ionico-Tarantino,,,
Brindisi DOC,1. Salento,,,
Squinzano DOC,1. Salento,,,
Salice Salentino DOC,1. Salento,,,
Leverano DOC,1. Salento,,,
Copertino DOC,1. Salento,,,
Galatina DOC,1. Salento,,,
Lizzano DOC,1. Salento,,,
Nardò DOC,1. Salento,,,
Alezio DOC,1. Salento,,,
Matino DOC,1. Salento,,,
Negroamaro di Terra d'Otranto DOC,1. Salento,,,
Terra d'Otranto DOC,1. Salento,,,
Ostuni DOC,1. Salento,,,
Primitivo di Manduria DOC,2 Arco Ionico-Tarantino,,,
Colline Joniche Tarantine DOC,2 Arco Ionico-Tarantino,,,
Locorotondo DOC,3. Valle d'Itria,,,
Martina Franca DOC,3. Valle d'Itria,,,
Gioia del Colle DOC,4. Murgia meriodionale barese o Murgia Carsica,,,
Gravina DOC,4. Murgia meriodionale barese o Murgia Carsica,,,
Castel del Monte DOC,5. Murgia settentrionale di Castel del Monte,,,
Barletta DOC,6. Zona litorale della provincia di BAT,,,
Moscato di Trani DOC,6. Zona litorale della provincia di BAT,,,
San Severo DOC,7. Capitanata,,,
Cacc'e mmitte di Lucera DOC,7. Capitanata,,,
Ortanova DOC,7. Capitanata,,,
Rosso di Cerignola DOC,7. Capitanata,,,
Tavoliere delle Puglie DOC,7. Capitanata,,,
